Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",154.480000,-92.200000,180.000000,top
"C2","10u","C_0402_1005Metric",171.400000,-75.500000,-90.000000,top
"C3","100uF","CP_EIA-7343-31_Kemet-D",166.645669,-79.013450,180.000000,top
"C4","10u","C_0402_1005Metric",85.200000,-50.500000,90.000000,top
"C5","10u","C_0402_1005Metric",156.500000,-131.550000,-90.000000,top
"C6","10u","C_0402_1005Metric",84.200000,-50.500000,90.000000,top
"C7","10u","C_0402_1005Metric",170.480000,-120.100000,180.000000,top
"C8","10u","C_0402_1005Metric",170.040552,-103.891585,180.000000,top
"C9","100n","C_0402_1005Metric",164.100000,-68.420000,-90.000000,top
"C10","100n","C_0402_1005Metric",87.100000,-53.200000,180.000000,top
"C11","4.7nF","C_0402_1005Metric",84.700000,-52.100000,0.000000,top
"C12","100n","C_0402_1005Metric",110.320000,-52.300000,0.000000,top
"C13","100n","C_0402_1005Metric",112.680000,-57.800000,0.000000,top
"C14","10u","C_0402_1005Metric",73.544829,-56.688620,0.000000,top
"C15","10u","C_0402_1005Metric",73.624829,-54.188620,0.000000,top
"C16","10u","C_0402_1005Metric",73.674829,-51.688620,0.000000,top
"C17","10u","C_0402_1005Metric",83.300000,-57.500000,180.000000,top
"C18","100n","C_0402_1005Metric",164.300000,-62.700000,90.000000,top
"C19","100n","C_0402_1005Metric",90.200000,-56.200000,90.000000,top
"D1","LED Red","LED_0603_1608Metric",87.600000,-129.900000,0.000000,top
"D2","LED Green","LED_0603_1608Metric",91.087500,-129.900000,0.000000,top
"D3","LED Green","LED_0603_1608Metric",75.324829,-56.188620,-90.000000,top
"J7","Micro_SD_Card_Det","SDCARD_MOLEX_503398-1892",165.000000,-128.000000,90.000000,top
"J11","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",170.105000,-65.680000,90.000000,top
"L1","2.2uH","L_Bourns_SRP5030CC",79.957500,-53.000000,-90.000000,top
"Module1","ComputeModule5-CM5","Raspberry-Pi-5-Compute-Module",126.500000,-119.000000,90.000000,top
"R1","1k","R_0402_1005Metric",90.800000,-128.100000,0.000000,top
"R2","470R","R_0402_1005Metric",167.000000,-101.600000,0.000000,top
"R3","470R","R_0402_1005Metric",170.000000,-82.500000,-90.000000,top
"R4","nf","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.500000,-114.500000,180.000000,top
"R5","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.500000,-112.000000,180.000000,top
"R6","2.2K 1%","R_0402_1005Metric",132.500000,-116.000000,180.000000,top
"R7","2.2K 1%","R_0402_1005Metric",132.500000,-114.600000,0.000000,top
"R9","2.2K 1%","R_0402_1005Metric",162.400000,-62.500000,180.000000,top
"R10","1k","R_0402_1005Metric",87.410000,-128.100000,0.000000,top
"R11","10K 1%","R_0402_1005Metric",78.400000,-131.500000,180.000000,top
"R13","10K 1%","R_0402_1005Metric",152.100000,-126.900000,90.000000,top
"R14","100K 1%","R_0402_1005Metric",89.700000,-51.000000,180.000000,top
"R15","10K 1%","R_0402_1005Metric",85.000000,-53.800000,90.000000,top
"R16","2.2K 1%","R_0402_1005Metric",83.900000,-53.800000,-90.000000,top
"R17","1k","R_0402_1005Metric",75.934829,-53.876120,0.000000,top
"SW1","Right angle Tact button","SW_SPST_B3U-1000P",164.200000,-145.000000,0.000000,top
"U1","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",154.500000,-89.200000,0.000000,top
"U2","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",154.500000,-96.100000,0.000000,top
"U6","AP22653W6","SOT-23-6",169.050000,-73.637500,-90.000000,top
"U7","ASEK-32.768KHZ-L-R-T","Crystal_SMD_3225-4Pin_3.2x2.5mm",87.600000,-56.000000,90.000000,top
"U8","AP3441SHE-7B","DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm",87.150000,-50.900000,90.000000,top
"U12","RT9742SNGV","TSOT-23_HandSoldering",113.000000,-54.700000,0.000000,top
"U18","RT9742GGJ5","SOT-23-5",155.000000,-127.000000,180.000000,top
