Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n,C_0402_1005Metric,154.48,-92.2,180,top
C2,10u,C_0402_1005Metric,171.4,-75.5,-90,top
C3,100uF,CP_EIA-7343-31_Kemet-D,166.645669,-79.01345,180,top
C4,10u,C_0402_1005Metric,85.2,-50.5,90,top
C5,10u,C_0402_1005Metric,156.5,-131.55,-90,top
C6,10u,C_0402_1005Metric,84.2,-50.5,90,top
C7,10u,C_0402_1005Metric,170.48,-120.1,180,top
C8,10u,C_0402_1005Metric,170.040552,-103.891585,180,top
C9,100n,C_0402_1005Metric,164.1,-68.42,-90,top
C10,100n,C_0402_1005Metric,87.1,-53.2,180,top
C11,4.7nF,C_0402_1005Metric,84.7,-52.1,0,top
C12,100n,C_0402_1005Metric,110.32,-52.3,0,top
C13,100n,C_0402_1005Metric,112.68,-57.8,0,top
C14,10u,C_0402_1005Metric,73.544829,-56.68862,0,top
C15,10u,C_0402_1005Metric,73.624829,-54.18862,0,top
C16,10u,C_0402_1005Metric,73.674829,-51.68862,0,top
C17,10u,C_0402_1005Metric,83.3,-57.5,180,top
C18,100n,C_0402_1005Metric,164.3,-62.7,90,top
C19,100n,C_0402_1005Metric,90.2,-56.2,90,top
D1,LED Red,LED_0603_1608Metric,87.6,-129.9,0,top
D2,LED Green,LED_0603_1608Metric,91.0875,-129.9,0,top
D3,LED Green,LED_0603_1608Metric,75.324829,-56.18862,-90,top
J7,Micro_SD_Card_Det,SDCARD_MOLEX_503398-1892,165,-128,90,top
J11,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,170.105,-65.68,90,top
L1,2.2uH,L_Bourns_SRP5030CC,79.9575,-53,-90,top
Module1,ComputeModule5-CM5,Raspberry-Pi-5-Compute-Module,126.5,-119,90,top
R1,1k,R_0402_1005Metric,90.8,-128.1,0,top
R2,470R,R_0402_1005Metric,167,-101.6,0,top
R3,470R,R_0402_1005Metric,170,-82.5,-90,top
R4,nf,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.5,-114.5,180,top
R5,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.5,-112,180,top
R6,2.2K 1%,R_0402_1005Metric,132.5,-116,180,top
R7,2.2K 1%,R_0402_1005Metric,132.5,-114.6,0,top
R9,2.2K 1%,R_0402_1005Metric,162.4,-62.5,180,top
R10,1k,R_0402_1005Metric,87.41,-128.1,0,top
R11,10K 1%,R_0402_1005Metric,78.4,-131.5,180,top
R13,10K 1%,R_0402_1005Metric,152.1,-126.9,90,top
R14,100K 1%,R_0402_1005Metric,89.7,-51,180,top
R15,10K 1%,R_0402_1005Metric,85,-53.8,90,top
R16,2.2K 1%,R_0402_1005Metric,83.9,-53.8,-90,top
R17,1k,R_0402_1005Metric,75.934829,-53.87612,0,top
J12,AMPHENOL_10164227-1001A1RLF,AMPHENOL_10164227-1001A1RLF,105,-85.5,0,top
J13,AMPHENOL_10164227-1001A1RLF,AMPHENOL_10164227-1001A1RLF,105,-119.5,0,top
SW1,Right angle Tact button,SW_SPST_B3U-1000P,164.2,-145,0,top
U1,TPD4EUSB30,USON-10_2.5x1.0mm_P0.5mm,154.5,-89.2,0,top
U2,TPD4EUSB30,USON-10_2.5x1.0mm_P0.5mm,154.5,-96.1,0,top
U6,AP22653W6,SOT-23-6,169.05,-73.6375,-90,top
U7,ASEK-32.768KHZ-L-R-T,Crystal_SMD_3225-4Pin_3.2x2.5mm,87.6,-56,90,top
U8,AP3441SHE-7B,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,87.15,-50.9,90,top
U12,RT9742SNGV,TSOT-23_HandSoldering,113,-54.7,0,top
U18,RT9742GGJ5,SOT-23-5,155,-127,180,top
